GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
GO:0015979	photosynthesis	29	21	5.34	7.0e-12	1.659e-9
GO:0006091	generation of precursor metabolites and ...	32	20	5.89	3.1e-09	3.6735e-7
GO:0009765	photosynthesis, light harvesting	26	20	4.79	0.001	0.079
GO:0019684	photosynthesis, light reaction	27	20	4.97	0.007	0.41475
GO:0005975	carbohydrate metabolic process	26	7	4.79	0.030	1
GO:1901293	nucleoside phosphate biosynthetic proces...	7	3	1.29	0.036	1
GO:0072522	purine-containing compound biosynthetic ...	7	3	1.29	0.042	1
GO:0034654	nucleobase-containing compound biosynthe...	13	3	2.39	0.046	1
GO:0072521	purine-containing compound metabolic pro...	10	3	1.84	0.052	1
GO:0019693	ribose phosphate metabolic process	10	3	1.84	0.059	1
GO:0006753	nucleoside phosphate metabolic process	10	3	1.84	0.078	1
GO:0009451	RNA modification	4	1	0.74	0.089	1
GO:0046390	ribose phosphate biosynthetic process	7	3	1.29	0.096	1
GO:0016053	organic acid biosynthetic process	8	3	1.47	0.113	1
GO:0008152	metabolic process	317	63	58.38	0.120	1
GO:1901566	organonitrogen compound biosynthetic pro...	16	4	2.95	0.135	1
GO:1901137	carbohydrate derivative biosynthetic pro...	9	3	1.66	0.138	1
GO:0046034	ATP metabolic process	7	3	1.29	0.144	1
GO:0006633	fatty acid biosynthetic process	4	2	0.74	0.154	1
GO:0009057	macromolecule catabolic process	10	2	1.84	0.161	1
GO:0006631	fatty acid metabolic process	4	2	0.74	0.176	1
GO:0090407	organophosphate biosynthetic process	10	3	1.84	0.192	1
GO:0034660	ncRNA metabolic process	5	1	0.92	0.200	1
GO:0044237	cellular metabolic process	133	29	24.49	0.208	1
GO:0055086	nucleobase-containing small molecule met...	12	3	2.21	0.214	1
GO:0005996	monosaccharide metabolic process	4	2	0.74	0.217	1
GO:0006508	proteolysis	17	3	3.13	0.242	1
GO:0046394	carboxylic acid biosynthetic process	8	3	1.47	0.255	1
GO:1901576	organic substance biosynthetic process	38	7	7	0.256	1
GO:0044283	small molecule biosynthetic process	10	3	1.84	0.259	1
GO:0009987	cellular process	191	38	35.17	0.279	1
GO:0009628	response to abiotic stimulus	3	1	0.55	0.284	1
GO:0006164	purine nucleotide biosynthetic process	7	3	1.29	0.292	1
GO:0009141	nucleoside triphosphate metabolic proces...	7	3	1.29	0.292	1
GO:0009165	nucleotide biosynthetic process	7	3	1.29	0.292	1
GO:0009152	purine ribonucleotide biosynthetic proce...	7	3	1.29	0.292	1
GO:0009260	ribonucleotide biosynthetic process	7	3	1.29	0.292	1
GO:0019438	aromatic compound biosynthetic process	16	3	2.95	0.296	1
GO:0034470	ncRNA processing	5	1	0.92	0.313	1
GO:0019637	organophosphate metabolic process	15	3	2.76	0.317	1
GO:0018130	heterocycle biosynthetic process	17	3	3.13	0.326	1
GO:0015849	organic acid transport	6	1	1.1	0.353	1
GO:1901135	carbohydrate derivative metabolic proces...	16	3	2.95	0.358	1
GO:0032787	monocarboxylic acid metabolic process	5	2	0.92	0.364	1
GO:0044271	cellular nitrogen compound biosynthetic ...	18	3	3.31	0.366	1
GO:1901362	organic cyclic compound biosynthetic pro...	19	3	3.5	0.373	1
GO:0030163	protein catabolic process	4	1	0.74	0.387	1
GO:0044281	small molecule metabolic process	40	9	7.37	0.396	1
GO:0072330	monocarboxylic acid biosynthetic process	4	2	0.74	0.405	1
GO:0008610	lipid biosynthetic process	15	3	2.76	0.412	1
GO:0006865	amino acid transport	6	1	1.1	0.429	1
GO:0055085	transmembrane transport	22	5	4.05	0.446	1
GO:0023052	signaling	8	2	1.47	0.450	1
GO:1901575	organic substance catabolic process	12	2	2.21	0.488	1
GO:0007165	signal transduction	8	2	1.47	0.497	1
GO:0010035	response to inorganic substance	3	1	0.55	0.500	1
GO:1901700	response to oxygen-containing compound	3	1	0.55	0.500	1
GO:0042221	response to chemical	6	1	1.1	0.502	1
GO:0006629	lipid metabolic process	36	5	6.63	0.519	1
GO:0009058	biosynthetic process	44	9	8.1	0.528	1
GO:0006082	organic acid metabolic process	13	3	2.39	0.550	1
GO:0044255	cellular lipid metabolic process	14	3	2.58	0.560	1
GO:0006396	RNA processing	16	1	2.95	0.571	1
GO:1901564	organonitrogen compound metabolic proces...	60	8	11.05	0.579	1
GO:0006520	cellular amino acid metabolic process	6	1	1.1	0.581	1
GO:1901607	alpha-amino acid biosynthetic process	3	1	0.55	0.600	1
GO:1901565	organonitrogen compound catabolic proces...	6	1	1.1	0.601	1
GO:0005976	polysaccharide metabolic process	7	1	1.29	0.616	1
GO:0042908	xenobiotic transport	5	1	0.92	0.626	1
GO:0007154	cell communication	10	2	1.84	0.627	1
GO:0051179	localization	58	10	10.68	0.658	1
GO:1901605	alpha-amino acid metabolic process	4	1	0.74	0.667	1
GO:0030001	metal ion transport	8	1	1.47	0.667	1
GO:0000272	polysaccharide catabolic process	5	1	0.92	0.682	1
GO:0051716	cellular response to stimulus	12	2	2.21	0.683	1
GO:0044249	cellular biosynthetic process	35	7	6.45	0.698	1
GO:0007010	cytoskeleton organization	5	1	0.92	0.714	1
GO:0050794	regulation of cellular process	12	2	2.21	0.719	1
GO:0018904	ether metabolic process	9	1	1.66	0.731	1
GO:0008299	isoprenoid biosynthetic process	6	1	1.1	0.733	1
GO:0022607	cellular component assembly	7	1	1.29	0.733	1
GO:0016043	cellular component organization	13	2	2.39	0.743	1
GO:1903825	organic acid transmembrane transport	5	1	0.92	0.745	1
GO:0008652	cellular amino acid biosynthetic process	4	1	0.74	0.751	1
GO:0006855	xenobiotic transmembrane transport	5	1	0.92	0.765	1
GO:0019538	protein metabolic process	37	4	6.81	0.769	1
GO:0009056	catabolic process	13	2	2.39	0.769	1
GO:0019752	carboxylic acid metabolic process	12	3	2.21	0.769	1
GO:0016052	carbohydrate catabolic process	5	1	0.92	0.776	1
GO:0000160	phosphorelay signal transduction system	4	1	0.74	0.800	1
GO:0006399	tRNA metabolic process	4	1	0.74	0.800	1
GO:0008033	tRNA processing	4	1	0.74	0.800	1
GO:0016070	RNA metabolic process	25	1	4.6	0.806	1
GO:0006996	organelle organization	7	1	1.29	0.808	1
GO:0050789	regulation of biological process	16	2	2.95	0.828	1
GO:0003333	amino acid transmembrane transport	5	1	0.92	0.833	1
GO:0071840	cellular component organization or bioge...	15	2	2.76	0.842	1
GO:0006720	isoprenoid metabolic process	6	1	1.1	0.846	1
GO:0044085	cellular component biogenesis	9	1	1.66	0.857	1
GO:0006793	phosphorus metabolic process	20	3	3.68	0.865	1
GO:0035556	intracellular signal transduction	5	1	0.92	0.893	1
GO:0065007	biological regulation	19	2	3.5	0.895	1
