GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
GO:0009579	thylakoid	14	7	1.78	0.00024	0.012375
GO:0034357	photosynthetic membrane	13	7	1.65	0.00033	0.012375
GO:0098796	membrane protein complex	23	8	2.92	0.00115	0.028749999999999998
GO:0009521	photosystem	13	7	1.65	0.03762	0.705375
GO:0005634	nucleus	19	3	2.41	0.06829	1
GO:0005576	extracellular region	5	2	0.63	0.12409	1
GO:0009522	photosystem I	9	6	1.14	0.21678	1
GO:0032991	protein-containing complex	55	9	6.98	0.22956	1
GO:0016020	membrane	103	15	13.08	0.28846	1
GO:0043231	intracellular membrane-bounded organelle	45	3	5.71	0.34058	1
GO:0043227	membrane-bounded organelle	45	3	5.71	0.34058	1
GO:1990234	transferase complex	4	1	0.51	0.44444	1
GO:0005938	cell cortex	8	1	1.02	0.46362	1
GO:0005622	intracellular anatomical structure	110	14	13.97	0.61134	1
GO:0071944	cell periphery	16	2	2.03	0.63897	1
GO:0098797	plasma membrane protein complex	3	1	0.38	0.65201	1
GO:0005886	plasma membrane	8	1	1.02	0.72470	1
GO:0000148	1,3-beta-D-glucan synthase complex	3	1	0.38	0.75000	1
GO:0110165	cellular anatomical entity	187	24	23.75	0.76157	1
GO:0031224	intrinsic component of membrane	38	4	4.83	0.76667	1
GO:0099023	vesicle tethering complex	8	1	1.02	0.78569	1
GO:1902494	catalytic complex	9	1	1.14	0.82673	1
GO:0016021	integral component of membrane	37	4	4.7	0.89474	1
GO:0005737	cytoplasm	49	3	6.22	0.97723	1
GO:0009523	photosystem II	4	1	0.51	0.97902	1
GO:0043226	organelle	64	3	8.13	0.99770	1
GO:0043229	intracellular organelle	64	3	8.13	0.99954	1
GO:0005575	cellular_component	189	24	24	1.00000	1
GO:0000145	exocyst	8	1	1.02	1.00000	1
GO:0000785	chromatin	10	0	1.27	1.00000	1
GO:0000786	nucleosome	9	0	1.14	1.00000	1
GO:0000930	gamma-tubulin complex	3	0	0.38	1.00000	1
GO:0005635	nuclear envelope	4	0	0.51	1.00000	1
GO:0005643	nuclear pore	3	0	0.38	1.00000	1
GO:0005694	chromosome	12	0	1.52	1.00000	1
GO:0005739	mitochondrion	8	0	1.02	1.00000	1
GO:0005740	mitochondrial envelope	8	0	1.02	1.00000	1
GO:0005743	mitochondrial inner membrane	6	0	0.76	1.00000	1
GO:0005753	mitochondrial proton-transporting ATP sy...	3	0	0.38	1.00000	1
GO:0005777	peroxisome	4	0	0.51	1.00000	1
GO:0005783	endoplasmic reticulum	12	0	1.52	1.00000	1
GO:0005789	endoplasmic reticulum membrane	6	0	0.76	1.00000	1
GO:0005815	microtubule organizing center	3	0	0.38	1.00000	1
GO:0005856	cytoskeleton	7	0	0.89	1.00000	1
GO:0005875	microtubule associated complex	3	0	0.38	1.00000	1
GO:0012505	endomembrane system	16	0	2.03	1.00000	1
GO:0015630	microtubule cytoskeleton	6	0	0.76	1.00000	1
GO:0016469	proton-transporting two-sector ATPase co...	4	0	0.51	1.00000	1
GO:0019866	organelle inner membrane	6	0	0.76	1.00000	1
GO:0019867	outer membrane	3	0	0.38	1.00000	1
GO:0031090	organelle membrane	18	0	2.29	1.00000	1
GO:0031226	intrinsic component of plasma membrane	3	0	0.38	1.00000	1
GO:0031300	intrinsic component of organelle membran...	3	0	0.38	1.00000	1
GO:0031301	integral component of organelle membrane	3	0	0.38	1.00000	1
GO:0031966	mitochondrial membrane	8	0	1.02	1.00000	1
GO:0031967	organelle envelope	12	0	1.52	1.00000	1
GO:0031974	membrane-enclosed lumen	3	0	0.38	1.00000	1
GO:0031975	envelope	12	0	1.52	1.00000	1
GO:0031981	nuclear lumen	3	0	0.38	1.00000	1
GO:0031984	organelle subcompartment	6	0	0.76	1.00000	1
GO:0032993	protein-DNA complex	9	0	1.14	1.00000	1
GO:0042175	nuclear outer membrane-endoplasmic retic...	6	0	0.76	1.00000	1
GO:0042579	microbody	4	0	0.51	1.00000	1
GO:0043228	non-membrane-bounded organelle	21	0	2.67	1.00000	1
GO:0043232	intracellular non-membrane-bounded organ...	21	0	2.67	1.00000	1
GO:0043233	organelle lumen	3	0	0.38	1.00000	1
GO:0044815	DNA packaging complex	9	0	1.14	1.00000	1
GO:0045259	proton-transporting ATP synthase complex	3	0	0.38	1.00000	1
GO:0070013	intracellular organelle lumen	3	0	0.38	1.00000	1
GO:0098588	bounding membrane of organelle	5	0	0.63	1.00000	1
GO:0098798	mitochondrial protein-containing complex	5	0	0.63	1.00000	1
GO:0098800	inner mitochondrial membrane protein com...	5	0	0.63	1.00000	1
GO:0098827	endoplasmic reticulum subcompartment	6	0	0.76	1.00000	1
GO:0140513	nuclear protein-containing complex	5	0	0.63	1.00000	1
GO:0140535	intracellular protein-containing complex	3	0	0.38	1.00000	1
