GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
GO:0071704	organic substance metabolic process	166	27	21.28	0.0057	1
GO:0044238	primary metabolic process	152	25	19.49	0.0087	1
GO:0019538	protein metabolic process	37	11	4.74	0.0142	1
GO:0006807	nitrogen compound metabolic process	92	16	11.79	0.0361	1
GO:0051179	localization	58	12	7.44	0.0485	1
GO:1901564	organonitrogen compound metabolic proces...	60	14	7.69	0.0524	1
GO:0034645	cellular macromolecule biosynthetic proc...	4	2	0.51	0.0798	1
GO:0071702	organic substance transport	17	6	2.18	0.0818	1
GO:0051641	cellular localization	9	3	1.15	0.1024	1
GO:0071705	nitrogen compound transport	14	5	1.79	0.1145	1
GO:0006790	sulfur compound metabolic process	6	2	0.77	0.1367	1
GO:0055085	transmembrane transport	22	5	2.82	0.1484	1
GO:0033036	macromolecule localization	11	4	1.41	0.1551	1
GO:0006629	lipid metabolic process	36	8	4.62	0.1783	1
GO:0009056	catabolic process	13	3	1.67	0.1840	1
GO:0044248	cellular catabolic process	7	2	0.9	0.1852	1
GO:0009059	macromolecule biosynthetic process	10	3	1.28	0.1996	1
GO:0045184	establishment of protein localization	8	3	1.03	0.2063	1
GO:0009058	biosynthetic process	44	7	5.64	0.2374	1
GO:0006520	cellular amino acid metabolic process	6	2	0.77	0.2567	1
GO:0006996	organelle organization	7	2	0.9	0.2692	1
GO:0046907	intracellular transport	9	3	1.15	0.2708	1
GO:0051649	establishment of localization in cell	9	3	1.15	0.2708	1
GO:0042908	xenobiotic transport	5	2	0.64	0.2735	1
GO:1903825	organic acid transmembrane transport	5	2	0.64	0.2907	1
GO:0006886	intracellular protein transport	7	3	0.9	0.2917	1
GO:0006082	organic acid metabolic process	13	3	1.67	0.3002	1
GO:0006855	xenobiotic transmembrane transport	5	2	0.64	0.3131	1
GO:0070727	cellular macromolecule localization	7	3	0.9	0.3427	1
GO:0043170	macromolecule metabolic process	78	14	10	0.3652	1
GO:0006508	proteolysis	17	6	2.18	0.3729	1
GO:0008380	RNA splicing	6	1	0.77	0.3750	1
GO:0008654	phospholipid biosynthetic process	3	1	0.38	0.3943	1
GO:0046486	glycerolipid metabolic process	3	1	0.38	0.3956	1
GO:0009311	oligosaccharide metabolic process	4	1	0.51	0.4077	1
GO:0044249	cellular biosynthetic process	35	5	4.49	0.4117	1
GO:0000272	polysaccharide catabolic process	5	1	0.64	0.4167	1
GO:0044260	cellular macromolecule metabolic process	30	5	3.85	0.4209	1
GO:0097659	nucleic acid-templated transcription	6	1	0.77	0.4300	1
GO:0043412	macromolecule modification	24	5	3.08	0.4407	1
